 "name" ,  ,
 "1st Bakery of farmhouse bread in Tesimo" ,  ,
 "Alimentar Market Costa" ,  ,
 "The Ansitz Waldgries Manor" ,  ,
 "Arte del Tessuto Alice" ,  ,
 "Avesani Primizie" ,  ,
 "Bakery Aldeiner Bergbrot" ,  ,
 "Bakery Costa" ,  ,
 "Bakery Oberprantacher" ,  ,
 "Panificio Tratter" ,  ,
 "Fruit juice, vinegar tea" ,  ,
 "Bergila-Mountain Pine Oil Distillery-Herb Garden" ,  ,
 "Mountain Dairy Pfelders Seppner Farm Dairy" ,  ,
 "vineyard Gruberhof" ,  ,
 "B&M Auer - Dolomites" ,  ,
 "Obergereuth Distillery" ,  ,
 "Farm bar Unterweirachhof" ,  ,
 "Ce bon" ,  ,
 "Ciores" ,  ,
 "De cuer" ,  ,
 "Turner Taschler Josef" ,  ,
 "Eggemoa" ,  ,
 "Erse - nature" ,  ,
 "Eschgfeller - the breath of the mountains" ,  ,
 "Gögele Nikolaus Meats and Sausages" ,  ,
 "Franziskanerbäckerei" ,  ,
 "Gioia" ,  ,
 "Goasroscht" ,  ,
 "Herilu Ladele" ,  ,
 "Pillows filled with hay and stone pine wood flakes" ,  ,
 "Hilburgerhof - farm shop" ,  ,
 "Hochgruberhof" ,  ,
 "Private distillery Weberhof" ,  ,
 "Cheese dairy farm Eben" ,  ,
 "Cheese dairy farm Learner" ,  ,
 "Cheese dairy Waldsamerhof" ,  ,
 "Engethalerhof Farm shop" ,  ,
 "Farm shop, Häuslerhof" ,  ,
 "Farm shop Lechner" ,  ,
 "Beekeeping Troger Kofler" ,  ,
 "Beekeeping Wieser Erwin" ,  ,
 "Innerleiterhof - Wine Shop" ,  ,
 "Farm Innerplatzer" ,  ,
 "Casa Del Formaggio" ,  ,
 "Cheese factory  "Latteria Sociale di Castelfondo"" ,  ,
 "Käserei Sexten" ,  ,
 "Winery Cantina Merano" ,  ,
 "Kleinstahlhof - Cheese dairy" ,  ,
 "Dorigo Pastry Shop" ,  ,
 "Kräutergarten - Steirerhof" ,  ,
 "Kräuterhof Hauser" ,  ,
 "Wegleit Herbs" ,  ,
 "Enjoy the Ladin cuisine" ,  ,
 "Lahnerhof - Direct marketing" ,  ,
 "L'Gulëus" ,  ,
 "Lüch da Pcëi" ,  ,
 "Mairhof" ,  ,
 "Mairhofer - vinothek, newsagent" ,  ,
 "Maso dello Speck" ,  ,
 "Maso dello Speck" ,  ,
 "Hofer Butcher Shop" ,  ,
 "Mittermair" ,  ,
 "Moarhof Cheese dairy" ,  ,
 "Moserhof - Farm shop" ,  ,
 "Neuhaushof Cheese dairy" ,  ,
 "Oberhaslerhof  - Herb farm" ,  ,
 "Obertimpflerhof" ,  ,
 "Cooperativa frutticoltori JUVAL" ,  ,
 "Pföstl - butcher‘s, meat and sausages" ,  ,
 "Prantner Fashion  & Sports" ,  ,
 "Distillery Unterthurner" ,  ,
 "Proveiser Bergladele" ,  ,
 "Passeiertal Valley Organic Mountain Dairy" ,  ,
 "Pur Südtirol" ,  ,
 "Restaurant Bad Egart Onkel Taa" ,  ,
 "Rielingerhof" ,  ,
 "Renon products" ,  ,
 "Rosi's Heustube" ,  ,
 "Roman Shoe Shop" ,  ,
 "Schwarzielhof" ,  ,
 "Soy alp" ,  ,
 "Sport Carezza" ,  ,
 "Stacherhof" ,  ,
 "Ortisei. The nicest Christmas Village in the Alps" ,  ,
 "South Tyrol Mountain Pasture Hay" ,  ,
 "Tschöll Supermarket" ,  ,
 "Tarres alp" ,  ,
 "Teisen Laden" ,  ,
 "Tschager" ,  ,
 "Christmas in the Ultental Valley" ,  ,
 "Viumser Speck OHG - Butcher's shop" ,  ,
 "Christmas Market Bressanone Brixen" ,  ,
 "Winery Marinushof" ,  ,
 "vineyard Plonerhof" ,  ,
 "Cantina wine Andriano" ,  ,
 "Weekly market" ,  ,
